,id_visitor,SessionLength,NumSessions,MeanSessionLength,SearchesPerSession,MessagesPerSearch,RequestsPerSearch,requestsentbinary,messagesentbinary,searchbinary
448,1424684109_+ZylkA1GCmt7cuib,333.0,3,0 days 00:01:51.000000000,0.333333333333,0.0,0.0,0,0,1
449,1424739387_z2UZ3PhkwQskuGZ7,112.0,2,0 days 00:00:56.000000000,0.0,,,0,0,0
450,1424927529_EU+Pm2xojVE2iWDI,484.0,2,0 days 00:04:02.000000000,1.0,0.0,0.0,0,0,1
451,1425069105_ghw66+AVGlSdRVIn,12.0,1,0 days 00:00:12.000000000,0.0,,,0,0,0
452,1425082699_/YMHEWK/AWprg9ig,925.0,2,0 days 00:07:42.500000000,0.0,,,0,0,0
453,1425252514_xaga6imKmPNU7MXS,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
454,1425263163_p9nLJMUgxSyYYDDg,1291.0,1,0 days 00:21:31.000000000,0.0,,,0,0,0
455,1425273143_Xudh7dpaC01/b0rE,3434.0,5,0 days 00:11:26.800000000,0.6,0.0,0.0,0,0,1
456,1425377199_zdHO8gesMGRPFptv,2086.0,2,0 days 00:17:23.000000000,0.5,0.0,0.0,0,0,1
457,1425378106_7qfn11LqGcj5TDdc,0.0,2,0 days 00:00:00.000000000,0.0,,,0,0,0
458,1425506684_jJ1qalRQ5sg3kTaZ,69.0,1,0 days 00:01:09.000000000,1.0,0.0,0.0,0,0,1
459,1425534019_ucNctv/FdDzTXUHc,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
460,1425550582_Lp7SfrZhzMNVVCd9,1068.0,4,0 days 00:04:27.000000000,0.75,0.0,0.0,0,0,1
461,1425582491_lRZ8er7fUmvrhGHK,27.0,4,0 days 00:00:06.750000000,0.0,,,0,0,0
462,1425618299_D9YiKYnEnsto8AvV,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
463,1425639672_CIBoKlDaL+i3wdRu,531.0,1,0 days 00:08:51.000000000,1.0,0.0,0.0,0,0,1
464,1425799587_ubAkk5Vyncd8jeng,1982.0,2,0 days 00:16:31.000000000,1.0,0.0,0.0,0,0,1
465,1425893510_FaREAHxzJDguPYA2,939.0,1,0 days 00:15:39.000000000,1.0,0.0,0.0,0,0,1
466,1425986033_qkB1DOu7ZFU8/Ab6,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
467,1425988176_ARMFPQmZtCWetwLP,43.0,1,0 days 00:00:43.000000000,1.0,0.0,0.0,0,0,1
468,1426136804_oR2BT822NOx5+qtd,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
469,1426289340_jkGIrxGtxo71uFgi,201.0,1,0 days 00:03:21.000000000,1.0,0.0,0.0,0,0,1
470,1426327704_anWbMQIDcgu/rsJO,1556.0,2,0 days 00:12:58.000000000,1.0,0.0,0.0,0,0,1
471,1426404102_cCpnOOUJ7hk5ooYD,1851.0,1,0 days 00:30:51.000000000,1.0,0.0,0.0,0,0,1
472,1426414553_sUVgbDGJppewkrDp,626.0,1,0 days 00:10:26.000000000,0.0,,,0,0,0
473,1426414893_JhiyVGYYz6w29pv0,759.0,1,0 days 00:12:39.000000000,1.0,0.0,0.0,0,0,1
474,1426418038_S/eQF7jdzvxzU3uD,4.0,1,0 days 00:00:04.000000000,0.0,,,0,0,0
475,1426452239_NOwNsqxRhSweisnK,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
476,1426463923_kbAccCGxhLE+qywh,2.0,1,0 days 00:00:02.000000000,0.0,,,0,0,0
477,1426489240_/Sh3oTTtF+oyvkxf,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
478,1426631713_eaL6Fqrf9VPl3zrH,532.0,1,0 days 00:08:52.000000000,1.0,0.0,0.0,0,0,1
479,1426664426_KVT1N/5xQf8IiWFx,147.0,1,0 days 00:02:27.000000000,1.0,0.0,0.0,0,0,1
480,1426720671_MwQpJzgcDupiOtuM,3.0,1,0 days 00:00:03.000000000,0.0,,,0,0,0
481,1426744790_dA4McSEjOQeClUIM,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
482,1426790522_chScabMkdcRpcRiw,829.0,3,0 days 00:04:36.333333333,0.333333333333,0.0,0.0,0,0,1
483,1426916238_Nmg9rSAjRgUdBjBs,68.0,1,0 days 00:01:08.000000000,1.0,0.0,0.0,0,0,1
484,1427010708_5cqXp6Ex5f633DKk,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
485,1427243972_BQB9wMG04gDE+KpM,84.0,2,0 days 00:00:42.000000000,0.0,,,0,0,0
486,1427252455_7OH8NFXN4huWRhqA,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
487,1427281964_Pw9WnMq9+slaoUCj,0.0,1,0 days 00:00:00.000000000,1.0,0.0,0.0,0,0,1
488,1427349744_MZlYF+CnplZgTHBn,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
489,1427366247_9t4zhgd0WEFNo0P6,94.0,1,0 days 00:01:34.000000000,0.0,,,0,0,0
490,1427375125_/hZBDvelNVHQMAGm,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
491,1427570619_LtadgYxgjsbWwsx3,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
492,1427671777_RVX2jrSTz6M55OQX,522.0,2,0 days 00:04:21.000000000,0.5,0.0,0.0,0,0,1
493,1427719716_X/qRvBQt3jLQsgw8,108.0,1,0 days 00:01:48.000000000,1.0,0.0,0.0,0,0,1
494,1427762547_TcPQ1PXwE87zfNS7,1888.0,2,0 days 00:15:44.000000000,0.5,0.0,0.0,0,0,1
495,1427799244_Sro2ls0c2SdF6KjC,0.0,1,0 days 00:00:00.000000000,0.0,,,0,0,0
496,18780911-1eda-476b-b2fb-d7043903917f,1593.0,3,0 days 00:08:51.000000000,0.0,,,0,0,0
497,18c9e4e3-a5a5-46ba-915a-b3fe6e95c475,717.0,5,0 days 00:02:23.400000000,0.2,1.0,0.0,0,1,1
498,191750a8-3886-4adf-9ebc-69f0ddf506b9,23406.0,22,0 days 00:17:43.909090909,0.590909090909,0.0,0.0,0,0,1
499,1a90a6a0-72ee-4b12-b9dd-bda519031808,1510.0,4,0 days 00:06:17.500000000,0.25,0.0,0.0,0,0,1
500,1d5c1295c38b6d32d61a28cd19aeca4a80e5f90d,273.0,2,0 days 00:02:16.500000000,1.0,0.0,0.0,0,0,1
501,214c6ba7-cbe4-419c-be56-fec01a46445e,5317.0,6,0 days 00:14:46.166666666,0.166666666667,1.0,1.0,1,1,1
502,233dfb90-1133-4b3a-91ef-0bf4d77a2c9d,5505.0,17,0 days 00:05:23.823529411,0.235294117647,0.0,0.0,0,0,1
503,2483cf83-375c-491e-bbae-eafd37173f71,3092.0,8,0 days 00:06:26.500000000,0.5,0.0,0.0,0,0,1
504,24b53796-206c-49a1-8d2a-7712e928f1bd,5888.0,3,0 days 00:32:42.666666666,0.333333333333,0.0,0.0,0,0,1
505,265a7e74-0679-42b3-a77f-5c134111e0f3,22983.0,22,0 days 00:17:24.681818181,0.409090909091,0.444444444444,0.111111111111,1,1,1
506,28b6792d-d489-427a-bd50-7f4e4f1e33cf,139406.0,111,0 days 00:20:55.909909909,0.306306306306,1.02941176471,0.0588235294118,1,1,1
507,2ec41206-3c49-4841-91c1-9f4deed80a89,2307.0,8,0 days 00:04:48.375000000,0.625,0.0,0.0,0,0,1
508,30539230-ba82-4355-81db-2e9115c48369,49264.0,69,0 days 00:11:53.971014492,0.275362318841,1.36842105263,0.315789473684,1,1,1
509,30df871b-61ff-40fb-9fd3-02f29fed521b,68495.0,127,0 days 00:08:59.330708661,0.0,inf,,0,1,0
510,30fae64a-38f5-4803-bad7-088825fe6a3b,10520.0,23,0 days 00:07:37.391304347,0.173913043478,1.25,0.0,0,1,1
511,31e77a58-041f-45ac-a5d8-cf2fad2ba79a,19606.0,21,0 days 00:15:33.619047619,0.47619047619,0.0,0.0,0,0,1
512,332fae3e-ebbb-4ccb-92c9-b4ef318e143b,82124.0,139,0 days 00:09:50.820143884,0.10071942446,1.64285714286,0.357142857143,1,1,1
513,3789f526-ddfa-4f48-8e25-23c3cc2631ff,80308.0,83,0 days 00:16:07.566265060,0.325301204819,0.777777777778,0.148148148148,1,1,1
514,39b7ba8d-8549-429d-b0cc-65e7f55b2142,48606.0,228,0 days 00:03:33.184210526,0.00438596491228,2.0,0.0,0,1,1
515,3c1d4e769e64d5290e48e4fd6902f0632f206d2f,4164.0,1,0 days 01:09:24.000000000,1.0,0.0,0.0,0,0,1
516,3c94d2c0-068d-4c45-92f2-6a9f54922e65,6569.0,11,0 days 00:09:57.181818181,0.818181818182,0.0,0.111111111111,1,0,1
517,3e722d62-71a1-44f2-bc93-abb6b50dddd7,71867.0,79,0 days 00:15:09.708860759,0.278481012658,0.272727272727,0.0909090909091,1,1,1
518,3eba359a-b0c7-427a-bf5a-b7a28ef2bc74,84876.0,113,0 days 00:12:31.115044247,0.0530973451327,4.0,0.0,0,1,1
519,41e1d01f-d896-42e7-8482-003fd8743011,9100.0,9,0 days 00:16:51.111111111,0.666666666667,0.333333333333,0.166666666667,1,1,1
520,42c51d16-5a13-4178-b628-31e6cf7a0481,25214.0,19,0 days 00:22:07.052631578,0.105263157895,3.0,0.5,1,1,1
521,445763e4-da37-4d10-83b3-85af2da1613f,906.0,1,0 days 00:15:06.000000000,1.0,0.0,0.0,0,0,1
522,45197d2c-13cb-4d2b-88ad-972ad272bb58,929.0,1,0 days 00:15:29.000000000,1.0,1.0,0.0,0,1,1
523,45e07d06-53a4-4256-add2-9c641f08d477,8456.0,23,0 days 00:06:07.652173913,0.217391304348,1.0,0.0,0,1,1
524,46aa748c-e887-4114-9e5a-43638ae91a3c,117.0,3,0 days 00:00:39.000000000,0.0,,,0,0,0
525,46cf3a9c-43d5-471c-ada4-4227f5c27384,127191.0,412,0 days 00:05:08.716019417,0.0145631067961,9.0,0.0,0,1,1
